filename,slug,name,check,tags,description
affenpinscher.png,affenpinscher,Affenpinscher,TRUE,"mammal, dog, toy, spunky","Small, bold, and curious. Lively “monkey-like” companion with a big personality."
afghan-hound.png,afghan-hound,Afghan Hound,TRUE,"mammal, dog, hound, elegant","Tall, graceful sighthound. Famous for its flowing coat and independent nature."
airedale-terrier.png,airedale-terrier,Airedale Terrier,TRUE,"mammal, dog, terrier, large","The largest terrier. Confident, alert, and playful. Great all-purpose dog."
akita.png,akita,Akita,TRUE,"mammal, dog, large, loyal","Powerful, dignified, and loyal. A natural guardian with a calm temperament."
alaskan-malamute.png,alaskan-malamute,Alaskan Malamute,TRUE,"mammal, dog, large, sled","Powerful, wolf-like sled dog. Bred for strength, loves cold and outdoor activities."
american-bulldog.png,american-bulldog,American Bulldog,TRUE,"mammal, dog, muscular, loyal","Strong, athletic, and loyal. Great with families but needs good training."
american-cocker-spaniel.png,american-cocker-spaniel,American Cocker Spaniel,TRUE,"mammal, dog, spaniel, friendly","Compact, cheerful, and affectionate. Loves play and grooming."
american-eskimo-dog.png,american-eskimo-dog,American Eskimo Dog,TRUE,"mammal, dog, fluffy, alert","Fluffy, intelligent, and alert. Great watchdog and family pet."
american-foxhound.png,american-foxhound,American Foxhound,TRUE,"mammal, dog, hound, energetic","Sleek, high-energy hunting dog. Needs space and exercise."
american-hairless-terrier.png,american-hairless-terrier,American Hairless Terrier,TRUE,"mammal, dog, terrier, hairless","Small, active, and hairless. Good for allergy-prone owners."
american-pit-bull-terrier.png,american-pit-bull-terrier,American Pit Bull Terrier,TRUE,"mammal, dog, strong, energetic","Muscular, loyal, and playful. Needs firm, loving training."
american-staffordshire-terrier.png,american-staffordshire-terrier,American Staffordshire Terrier,TRUE,"mammal, dog, terrier, strong","Sturdy, confident, and people-oriented. Needs socialization."
american-water-spaniel.png,american-water-spaniel,American Water Spaniel,TRUE,"mammal, dog, spaniel, swimmer","Medium-sized, curly-haired, loves water and retrieving."
anatolian-shepherd-dog.png,anatolian-shepherd-dog,Anatolian Shepherd Dog,TRUE,"mammal, dog, guardian, large","Large, powerful livestock guardian. Independent and protective."
